t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948353,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948356,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948359,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948362,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948365,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948368,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948371,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948374,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948377,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948380,1,0.022258,0.000000,0.000000,0.000000,events/second
1571948383,2,0.041652,0.000000,0.000000,0.000000,events/second
1571948386,2,0.039262,0.000000,0.000000,0.000000,events/second
1571948389,2,0.037086,0.000000,0.000000,0.000000,events/second
1571948392,2,0.035127,0.000000,0.000000,0.000000,events/second
1571948395,2,0.033366,0.000000,0.000000,0.000000,events/second
1571948398,2,0.031778,0.000000,0.000000,0.000000,events/second
1571948401,2,0.030333,0.000000,0.000000,0.000000,events/second
1571948404,2,0.029009,0.000000,0.000000,0.000000,events/second
1571948407,2,0.027803,0.000000,0.000000,0.000000,events/second
1571948410,2,0.026687,0.000000,0.000000,0.000000,events/second
1571948413,2,0.025662,0.000000,0.000000,0.000000,events/second
1571948416,2,0.024713,0.000000,0.000000,0.000000,events/second
1571948419,2,0.023829,0.000000,0.000000,0.000000,events/second
1571948422,2,0.023005,0.000000,0.000000,0.000000,events/second
1571948425,2,0.022238,0.000000,0.000000,0.000000,events/second
1571948428,2,0.021519,0.000000,0.000000,0.000000,events/second
1571948431,2,0.020843,0.000000,0.000000,0.000000,events/second
1571948434,2,0.020214,0.000000,0.000000,0.000000,events/second
1571948437,2,0.019622,0.000000,0.000000,0.000000,events/second
1571948440,2,0.019059,0.000000,0.000000,0.000000,events/second
1571948443,2,0.018529,0.000000,0.000000,0.000000,events/second
1571948446,2,0.018029,0.000000,0.000000,0.000000,events/second
1571948449,2,0.017553,0.000000,0.000000,0.000000,events/second
1571948452,2,0.017103,0.000000,0.000000,0.000000,events/second
1571948455,2,0.016677,0.000000,0.000000,0.000000,events/second
1571948458,2,0.016268,0.000000,0.000000,0.000000,events/second
1571948461,2,0.015882,0.000000,0.000000,0.000000,events/second
1571948464,2,0.015511,0.000000,0.000000,0.000000,events/second
1571948467,2,0.015159,0.000000,0.000000,0.000000,events/second
1571948470,2,0.014821,0.000000,0.000000,0.000000,events/second
1571948473,2,0.014497,0.000000,0.000000,0.000000,events/second
1571948476,2,0.014190,0.000000,0.000000,0.000000,events/second
1571948479,2,0.013895,0.000000,0.000000,0.000000,events/second
1571948482,2,0.013612,0.000000,0.000000,0.000000,events/second
1571948485,2,0.013339,0.000000,0.000000,0.000000,events/second
1571948488,2,0.013076,0.000000,0.000000,0.000000,events/second
1571948491,2,0.012826,0.000000,0.000000,0.000000,events/second
1571948494,2,0.012584,0.000000,0.000000,0.000000,events/second
1571948497,2,0.012350,0.000000,0.000000,0.000000,events/second
1571948500,2,0.012126,0.000000,0.000000,0.000000,events/second
1571948503,2,0.011910,0.000000,0.000000,0.000000,events/second
1571948506,2,0.011700,0.000000,0.000000,0.000000,events/second
1571948509,2,0.011499,0.000000,0.000000,0.000000,events/second
1571948512,2,0.011303,0.000000,0.000000,0.000000,events/second
1571948515,2,0.011115,0.000000,0.000000,0.000000,events/second
1571948518,2,0.010932,0.000000,0.000000,0.000000,events/second
1571948521,2,0.010757,0.000000,0.000000,0.000000,events/second
1571948524,2,0.010586,0.000000,0.000000,0.000000,events/second
1571948527,2,0.010421,0.000000,0.000000,0.000000,events/second
1571948530,2,0.010260,0.000000,0.000000,0.000000,events/second
1571948533,2,0.010105,0.000000,0.000000,0.000000,events/second
1571948536,2,0.009953,0.000000,0.000000,0.000000,events/second
1571948539,2,0.009807,0.000000,0.000000,0.000000,events/second
1571948542,2,0.009664,0.000000,0.000000,0.000000,events/second
1571948545,2,0.009527,0.000000,0.000000,0.000000,events/second
1571948548,2,0.009393,0.000000,0.000000,0.000000,events/second
1571948551,2,0.009262,0.000000,0.000000,0.000000,events/second
1571948554,2,0.009135,0.000000,0.000000,0.000000,events/second
1571948557,2,0.009011,0.000000,0.000000,0.000000,events/second
1571948560,2,0.008892,0.000000,0.000000,0.000000,events/second
1571948563,2,0.008775,0.000000,0.000000,0.000000,events/second
1571948566,2,0.008660,0.000000,0.000000,0.000000,events/second
1571948569,2,0.008549,0.000000,0.000000,0.000000,events/second
1571948572,2,0.008441,0.000000,0.000000,0.000000,events/second
1571948575,2,0.008336,0.000000,0.000000,0.000000,events/second
1571948578,2,0.008232,0.000000,0.000000,0.000000,events/second
1571948581,2,0.008132,0.000000,0.000000,0.000000,events/second
1571948584,2,0.008034,0.000000,0.000000,0.000000,events/second
1571948587,2,0.007939,0.000000,0.000000,0.000000,events/second
1571948590,2,0.007845,0.000000,0.000000,0.000000,events/second
1571948593,2,0.007754,0.000000,0.000000,0.000000,events/second
1571948596,2,0.007665,0.000000,0.000000,0.000000,events/second
1571948599,2,0.007577,0.000000,0.000000,0.000000,events/second
1571948602,2,0.007492,0.000000,0.000000,0.000000,events/second
1571948605,2,0.007409,0.000000,0.000000,0.000000,events/second
1571948608,2,0.007327,0.000000,0.000000,0.000000,events/second
1571948611,2,0.007248,0.000000,0.000000,0.000000,events/second
1571948614,2,0.007170,0.000000,0.000000,0.000000,events/second
1571948617,2,0.007094,0.000000,0.000000,0.000000,events/second
1571948620,2,0.007019,0.000000,0.000000,0.000000,events/second
1571948623,2,0.006946,0.000000,0.000000,0.000000,events/second
1571948626,2,0.006874,0.000000,0.000000,0.000000,events/second
1571948629,2,0.006804,0.000000,0.000000,0.000000,events/second
1571948632,2,0.006735,0.000000,0.000000,0.000000,events/second
1571948635,2,0.006668,0.000000,0.000000,0.000000,events/second
1571948638,2,0.006602,0.000000,0.000000,0.000000,events/second
1571948641,2,0.006538,0.000000,0.000000,0.000000,events/second
1571948644,2,0.006474,0.000000,0.000000,0.000000,events/second
1571948647,2,0.006411,0.000000,0.000000,0.000000,events/second
1571948650,2,0.006351,0.000000,0.000000,0.000000,events/second
1571948653,2,0.006290,0.000000,0.000000,0.000000,events/second
1571948656,2,0.006232,0.000000,0.000000,0.000000,events/second
1571948659,2,0.006174,0.000000,0.000000,0.000000,events/second
1571948662,2,0.006117,0.000000,0.000000,0.000000,events/second
1571948665,2,0.006062,0.000000,0.000000,0.000000,events/second
1571948668,2,0.006007,0.000000,0.000000,0.000000,events/second
1571948671,2,0.005953,0.000000,0.000000,0.000000,events/second
1571948674,2,0.005901,0.000000,0.000000,0.000000,events/second
1571948677,2,0.005849,0.000000,0.000000,0.000000,events/second
1571948680,2,0.005798,0.000000,0.000000,0.000000,events/second
1571948683,2,0.005748,0.000000,0.000000,0.000000,events/second
1571948686,2,0.005699,0.000000,0.000000,0.000000,events/second
1571948689,2,0.005651,0.000000,0.000000,0.000000,events/second
1571948692,2,0.005603,0.000000,0.000000,0.000000,events/second
1571948695,2,0.005557,0.000000,0.000000,0.000000,events/second
1571948698,2,0.005511,0.000000,0.000000,0.000000,events/second
1571948701,2,0.005466,0.000000,0.000000,0.000000,events/second
1571948704,2,0.005421,0.000000,0.000000,0.000000,events/second
1571948707,2,0.005377,0.000000,0.000000,0.000000,events/second
1571948710,2,0.005334,0.000000,0.000000,0.000000,events/second
1571948713,2,0.005292,0.000000,0.000000,0.000000,events/second
1571948716,2,0.005250,0.000000,0.000000,0.000000,events/second
1571948719,2,0.005209,0.000000,0.000000,0.000000,events/second
1571948722,2,0.005169,0.000000,0.000000,0.000000,events/second
1571948725,2,0.005129,0.000000,0.000000,0.000000,events/second
1571948728,2,0.005090,0.000000,0.000000,0.000000,events/second
1571948731,2,0.005051,0.000000,0.000000,0.000000,events/second
1571948734,2,0.005013,0.000000,0.000000,0.000000,events/second
1571948737,2,0.004976,0.000000,0.000000,0.000000,events/second
1571948740,2,0.004939,0.000000,0.000000,0.000000,events/second
1571948743,2,0.004903,0.000000,0.000000,0.000000,events/second
1571948746,2,0.004867,0.000000,0.000000,0.000000,events/second
1571948749,2,0.004832,0.000000,0.000000,0.000000,events/second
1571948752,2,0.004797,0.000000,0.000000,0.000000,events/second
1571948755,2,0.004763,0.000000,0.000000,0.000000,events/second
1571948758,2,0.004729,0.000000,0.000000,0.000000,events/second
1571948761,2,0.004696,0.000000,0.000000,0.000000,events/second
1571948764,2,0.004663,0.000000,0.000000,0.000000,events/second
1571948767,2,0.004630,0.000000,0.000000,0.000000,events/second
1571948770,2,0.004598,0.000000,0.000000,0.000000,events/second
1571948773,2,0.004567,0.000000,0.000000,0.000000,events/second
1571948776,2,0.004536,0.000000,0.000000,0.000000,events/second
1571948779,2,0.004505,0.000000,0.000000,0.000000,events/second
1571948782,2,0.004475,0.000000,0.000000,0.000000,events/second
1571948785,2,0.004445,0.000000,0.000000,0.000000,events/second
1571948788,2,0.004416,0.000000,0.000000,0.000000,events/second
1571948791,2,0.004387,0.000000,0.000000,0.000000,events/second
1571948794,2,0.004358,0.000000,0.000000,0.000000,events/second
1571948797,2,0.004330,0.000000,0.000000,0.000000,events/second
1571948800,2,0.004302,0.000000,0.000000,0.000000,events/second
1571948803,2,0.004274,0.000000,0.000000,0.000000,events/second
1571948806,2,0.004247,0.000000,0.000000,0.000000,events/second
1571948809,2,0.004220,0.000000,0.000000,0.000000,events/second
1571948812,2,0.004194,0.000000,0.000000,0.000000,events/second
1571948815,2,0.004167,0.000000,0.000000,0.000000,events/second
1571948818,2,0.004141,0.000000,0.000000,0.000000,events/second
1571948821,2,0.004116,0.000000,0.000000,0.000000,events/second
1571948824,2,0.004090,0.000000,0.000000,0.000000,events/second
1571948827,2,0.004066,0.000000,0.000000,0.000000,events/second
1571948830,2,0.004041,0.000000,0.000000,0.000000,events/second
1571948833,2,0.004017,0.000000,0.000000,0.000000,events/second
1571948836,2,0.003993,0.000000,0.000000,0.000000,events/second
1571948839,2,0.003969,0.000000,0.000000,0.000000,events/second
1571948842,2,0.003945,0.000000,0.000000,0.000000,events/second
1571948845,2,0.003922,0.000000,0.000000,0.000000,events/second
1571948848,2,0.003899,0.000000,0.000000,0.000000,events/second
1571948851,2,0.003876,0.000000,0.000000,0.000000,events/second
1571948854,2,0.003854,0.000000,0.000000,0.000000,events/second
1571948857,2,0.003832,0.000000,0.000000,0.000000,events/second
1571948860,2,0.003810,0.000000,0.000000,0.000000,events/second
1571948863,2,0.003788,0.000000,0.000000,0.000000,events/second
1571948866,2,0.003767,0.000000,0.000000,0.000000,events/second
1571948869,2,0.003746,0.000000,0.000000,0.000000,events/second
1571948872,2,0.003725,0.000000,0.000000,0.000000,events/second
1571948875,2,0.003704,0.000000,0.000000,0.000000,events/second
1571948878,2,0.003684,0.000000,0.000000,0.000000,events/second
1571948881,2,0.003663,0.000000,0.000000,0.000000,events/second
1571948884,2,0.003643,0.000000,0.000000,0.000000,events/second
1571948887,2,0.003624,0.000000,0.000000,0.000000,events/second
1571948890,2,0.003604,0.000000,0.000000,0.000000,events/second
1571948893,2,0.003585,0.000000,0.000000,0.000000,events/second
1571948896,2,0.003565,0.000000,0.000000,0.000000,events/second
1571948899,2,0.003547,0.000000,0.000000,0.000000,events/second
1571948902,2,0.003528,0.000000,0.000000,0.000000,events/second
1571948905,2,0.003509,0.000000,0.000000,0.000000,events/second
1571948908,2,0.003491,0.000000,0.000000,0.000000,events/second
1571948911,2,0.003473,0.000000,0.000000,0.000000,events/second
1571948914,2,0.003455,0.000000,0.000000,0.000000,events/second
1571948917,2,0.003437,0.000000,0.000000,0.000000,events/second
1571948920,2,0.003419,0.000000,0.000000,0.000000,events/second
1571948923,2,0.003402,0.000000,0.000000,0.000000,events/second
1571948926,2,0.003384,0.000000,0.000000,0.000000,events/second
1571948929,2,0.003367,0.000000,0.000000,0.000000,events/second
1571948932,2,0.003350,0.000000,0.000000,0.000000,events/second
1571948935,2,0.003334,0.000000,0.000000,0.000000,events/second
1571948938,2,0.003317,0.000000,0.000000,0.000000,events/second
1571948941,2,0.003301,0.000000,0.000000,0.000000,events/second
1571948944,2,0.003284,0.000000,0.000000,0.000000,events/second
1571948947,2,0.003268,0.000000,0.000000,0.000000,events/second
1571948950,2,0.003252,0.000000,0.000000,0.000000,events/second
1571948953,2,0.003237,0.000000,0.000000,0.000000,events/second
1571948956,2,0.003221,0.000000,0.000000,0.000000,events/second
1571948959,2,0.003205,0.000000,0.000000,0.000000,events/second
1571948962,2,0.003190,0.000000,0.000000,0.000000,events/second
1571948965,2,0.003175,0.000000,0.000000,0.000000,events/second
1571948968,2,0.003160,0.000000,0.000000,0.000000,events/second
1571948971,2,0.003145,0.000000,0.000000,0.000000,events/second
1571948974,2,0.003130,0.000000,0.000000,0.000000,events/second
1571948977,2,0.003116,0.000000,0.000000,0.000000,events/second
1571948980,2,0.003101,0.000000,0.000000,0.000000,events/second
1571948983,2,0.003087,0.000000,0.000000,0.000000,events/second
1571948986,2,0.003072,0.000000,0.000000,0.000000,events/second
1571948989,2,0.003058,0.000000,0.000000,0.000000,events/second
1571948992,2,0.003044,0.000000,0.000000,0.000000,events/second
1571948995,2,0.003031,0.000000,0.000000,0.000000,events/second
1571948998,2,0.003017,0.000000,0.000000,0.000000,events/second
1571949001,2,0.003003,0.000000,0.000000,0.000000,events/second
1571949004,2,0.002990,0.000000,0.000000,0.000000,events/second
1571949007,2,0.002977,0.000000,0.000000,0.000000,events/second
1571949010,2,0.002963,0.000000,0.000000,0.000000,events/second
1571949013,2,0.002950,0.000000,0.000000,0.000000,events/second
1571949016,2,0.002937,0.000000,0.000000,0.000000,events/second
1571949019,2,0.002924,0.000000,0.000000,0.000000,events/second
1571949022,2,0.002912,0.000000,0.000000,0.000000,events/second
1571949025,2,0.002899,0.000000,0.000000,0.000000,events/second
1571949028,2,0.002886,0.000000,0.000000,0.000000,events/second
1571949031,2,0.002874,0.000000,0.000000,0.000000,events/second
1571949034,2,0.002861,0.000000,0.000000,0.000000,events/second
1571949037,2,0.002849,0.000000,0.000000,0.000000,events/second
1571949040,2,0.002837,0.000000,0.000000,0.000000,events/second
1571949043,2,0.002825,0.000000,0.000000,0.000000,events/second
1571949046,2,0.002813,0.000000,0.000000,0.000000,events/second
1571949049,2,0.002801,0.000000,0.000000,0.000000,events/second
1571949052,2,0.002790,0.000000,0.000000,0.000000,events/second
1571949055,2,0.002778,0.000000,0.000000,0.000000,events/second
1571949058,2,0.002766,0.000000,0.000000,0.000000,events/second
1571949061,2,0.002755,0.000000,0.000000,0.000000,events/second
1571949064,2,0.002744,0.000000,0.000000,0.000000,events/second
1571949067,2,0.002733,0.000000,0.000000,0.000000,events/second
1571949070,2,0.002721,0.000000,0.000000,0.000000,events/second
1571949073,2,0.002710,0.000000,0.000000,0.000000,events/second
1571949076,2,0.002699,0.000000,0.000000,0.000000,events/second
1571949079,2,0.002688,0.000000,0.000000,0.000000,events/second
1571949082,2,0.002678,0.000000,0.000000,0.000000,events/second
1571949085,2,0.002667,0.000000,0.000000,0.000000,events/second
1571949088,2,0.002656,0.000000,0.000000,0.000000,events/second
1571949091,2,0.002646,0.000000,0.000000,0.000000,events/second
1571949094,2,0.002635,0.000000,0.000000,0.000000,events/second
1571949097,2,0.002625,0.000000,0.000000,0.000000,events/second
1571949100,2,0.002615,0.000000,0.000000,0.000000,events/second
1571949103,2,0.002604,0.000000,0.000000,0.000000,events/second
1571949106,2,0.002594,0.000000,0.000000,0.000000,events/second
1571949109,2,0.002584,0.000000,0.000000,0.000000,events/second
1571949112,2,0.002574,0.000000,0.000000,0.000000,events/second
1571949115,2,0.002564,0.000000,0.000000,0.000000,events/second
1571949118,2,0.002554,0.000000,0.000000,0.000000,events/second
1571949121,2,0.002545,0.000000,0.000000,0.000000,events/second
1571949124,2,0.002535,0.000000,0.000000,0.000000,events/second
1571949127,2,0.002525,0.000000,0.000000,0.000000,events/second
1571949130,2,0.002516,0.000000,0.000000,0.000000,events/second
1571949133,2,0.002506,0.000000,0.000000,0.000000,events/second
1571949136,2,0.002497,0.000000,0.000000,0.000000,events/second
1571949139,2,0.002488,0.000000,0.000000,0.000000,events/second
1571949142,2,0.002479,0.000000,0.000000,0.000000,events/second
1571949145,2,0.002469,0.000000,0.000000,0.000000,events/second
1571949148,2,0.002460,0.000000,0.000000,0.000000,events/second
1571949151,2,0.002451,0.000000,0.000000,0.000000,events/second
1571949154,2,0.002442,0.000000,0.000000,0.000000,events/second
1571949157,2,0.002433,0.000000,0.000000,0.000000,events/second
1571949160,2,0.002424,0.000000,0.000000,0.000000,events/second
1571949163,2,0.002416,0.000000,0.000000,0.000000,events/second
1571949166,2,0.002407,0.000000,0.000000,0.000000,events/second
1571949169,2,0.002398,0.000000,0.000000,0.000000,events/second
1571949172,2,0.002390,0.000000,0.000000,0.000000,events/second
1571949175,2,0.002381,0.000000,0.000000,0.000000,events/second
1571949178,2,0.002373,0.000000,0.000000,0.000000,events/second
1571949181,2,0.002364,0.000000,0.000000,0.000000,events/second
1571949184,2,0.002356,0.000000,0.000000,0.000000,events/second
1571949187,2,0.002348,0.000000,0.000000,0.000000,events/second
1571949190,2,0.002339,0.000000,0.000000,0.000000,events/second
1571949193,2,0.002331,0.000000,0.000000,0.000000,events/second
1571949196,2,0.002323,0.000000,0.000000,0.000000,events/second
1571949199,2,0.002315,0.000000,0.000000,0.000000,events/second
1571949202,2,0.002307,0.000000,0.000000,0.000000,events/second
1571949205,2,0.002299,0.000000,0.000000,0.000000,events/second
1571949208,2,0.002291,0.000000,0.000000,0.000000,events/second
1571949211,2,0.002283,0.000000,0.000000,0.000000,events/second
1571949214,2,0.002275,0.000000,0.000000,0.000000,events/second
1571949217,2,0.002268,0.000000,0.000000,0.000000,events/second
1571949220,2,0.002260,0.000000,0.000000,0.000000,events/second
1571949223,2,0.002252,0.000000,0.000000,0.000000,events/second
1571949226,2,0.002245,0.000000,0.000000,0.000000,events/second
1571949229,2,0.002237,0.000000,0.000000,0.000000,events/second
1571949232,2,0.002230,0.000000,0.000000,0.000000,events/second
1571949235,2,0.002222,0.000000,0.000000,0.000000,events/second
1571949238,2,0.002215,0.000000,0.000000,0.000000,events/second
1571949241,2,0.002208,0.000000,0.000000,0.000000,events/second
1571949244,2,0.002200,0.000000,0.000000,0.000000,events/second
1571949247,2,0.002193,0.000000,0.000000,0.000000,events/second
1571949250,2,0.002186,0.000000,0.000000,0.000000,events/second
1571949253,2,0.002179,0.000000,0.000000,0.000000,events/second
1571949256,2,0.002172,0.000000,0.000000,0.000000,events/second
1571949259,2,0.002165,0.000000,0.000000,0.000000,events/second
1571949262,2,0.002158,0.000000,0.000000,0.000000,events/second
1571949265,2,0.002151,0.000000,0.000000,0.000000,events/second
1571949268,2,0.002144,0.000000,0.000000,0.000000,events/second
1571949271,2,0.002137,0.000000,0.000000,0.000000,events/second
1571949274,2,0.002130,0.000000,0.000000,0.000000,events/second
1571949277,2,0.002123,0.000000,0.000000,0.000000,events/second
1571949280,2,0.002117,0.000000,0.000000,0.000000,events/second
1571949283,2,0.002110,0.000000,0.000000,0.000000,events/second
1571949286,2,0.002103,0.000000,0.000000,0.000000,events/second
1571949289,2,0.002097,0.000000,0.000000,0.000000,events/second
1571949292,2,0.002090,0.000000,0.000000,0.000000,events/second
1571949295,2,0.002083,0.000000,0.000000,0.000000,events/second
1571949298,2,0.002077,0.000000,0.000000,0.000000,events/second
1571949301,2,0.002071,0.000000,0.000000,0.000000,events/second
1571949304,2,0.002064,0.000000,0.000000,0.000000,events/second
1571949307,2,0.002058,0.000000,0.000000,0.000000,events/second
1571949310,2,0.002051,0.000000,0.000000,0.000000,events/second
1571949313,2,0.002045,0.000000,0.000000,0.000000,events/second
1571949316,2,0.002039,0.000000,0.000000,0.000000,events/second
1571949319,2,0.002033,0.000000,0.000000,0.000000,events/second
1571949322,2,0.002026,0.000000,0.000000,0.000000,events/second
