t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948353,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948356,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948359,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948362,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948365,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948368,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948371,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948374,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948377,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948380,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948383,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948386,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948389,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948392,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948395,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948398,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948401,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948404,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948407,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948410,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948413,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948416,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948419,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948422,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948425,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948428,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948431,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948434,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948437,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948440,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948443,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948446,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948449,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948452,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948455,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948458,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948461,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948464,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948467,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948470,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948473,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948476,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948479,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948482,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948485,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948488,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948491,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948494,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948497,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948500,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948503,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948506,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948509,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948512,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948515,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948518,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948521,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948524,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948527,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948530,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948533,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948536,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948539,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948542,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948545,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948548,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948551,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948554,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948557,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948560,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948563,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948566,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948569,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948572,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948575,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948578,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948581,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948584,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948587,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948590,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948593,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948596,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948599,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948602,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948605,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948608,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948611,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948614,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948617,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948620,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948623,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948626,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948629,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948632,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948635,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948638,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948641,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948644,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948647,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948650,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948653,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948656,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948659,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948662,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948665,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948668,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948671,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948674,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948677,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948680,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948683,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948686,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948689,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948692,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948695,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948698,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948701,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948704,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948707,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948710,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948713,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948716,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948719,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948722,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948725,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948728,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948731,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948734,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948737,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948740,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948743,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948746,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948749,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948752,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948755,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948758,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948761,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948764,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948767,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948770,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948773,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948776,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948779,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948782,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948785,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948788,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948791,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948794,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948797,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948800,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948803,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948806,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948809,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948812,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948815,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948818,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948821,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948824,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948827,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948830,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948833,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948836,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948839,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948842,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948845,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948848,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948851,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948854,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948857,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948860,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948863,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948866,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948869,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948872,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948875,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948878,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948881,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948884,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948887,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948890,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948893,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948896,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948899,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948902,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948905,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948908,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948911,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948914,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948917,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948920,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948923,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948926,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948929,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948932,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948935,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948938,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948941,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948944,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948947,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948950,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948953,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948956,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948959,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948962,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948965,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948968,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948971,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948974,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948977,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948980,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948983,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948986,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948989,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948992,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948995,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948998,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949001,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949004,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949007,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949010,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949013,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949016,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949019,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949022,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949025,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949028,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949031,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949034,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949037,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949040,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949043,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949046,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949049,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949052,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949055,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949058,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949061,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949064,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949067,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949070,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949073,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949076,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949079,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949082,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949085,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949088,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949091,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949094,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949097,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949100,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949103,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949106,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949109,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949112,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949115,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949118,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949121,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949124,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949127,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949130,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949133,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949136,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949139,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949142,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949145,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949148,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949151,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949154,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949157,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949160,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949163,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949166,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949169,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949172,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949175,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949178,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949181,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949184,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949187,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949190,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949193,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949196,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949199,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949202,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949205,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949208,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949211,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949214,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949217,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949220,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949223,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949226,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949229,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949232,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949235,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949238,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949241,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949244,0,0.000000,0.000000,0.000000,0.000000,events/second
1571949247,424,0.464919,0.000000,0.000000,0.000000,events/second
1571949250,424,0.463398,0.000000,0.000000,0.000000,events/second
1571949253,424,0.461879,0.000000,0.000000,0.000000,events/second
1571949256,424,0.460376,0.000000,0.000000,0.000000,events/second
1571949259,424,0.458884,0.000000,0.000000,0.000000,events/second
1571949262,424,0.457403,0.000000,0.000000,0.000000,events/second
1571949265,424,0.455923,0.000000,0.000000,0.000000,events/second
1571949268,424,0.454459,0.000000,0.000000,0.000000,events/second
1571949271,424,0.452997,0.000000,0.000000,0.000000,events/second
1571949274,424,0.451546,0.000000,0.000000,0.000000,events/second
1571949277,424,0.450113,0.000000,0.000000,0.000000,events/second
1571949280,424,0.448687,0.000000,0.000000,0.000000,events/second
1571949283,424,0.447264,0.000000,0.000000,0.000000,events/second
1571949286,424,0.445855,0.000000,0.000000,0.000000,events/second
1571949289,424,0.444455,0.000000,0.000000,0.000000,events/second
1571949292,424,0.443057,0.000000,0.000000,0.000000,events/second
1571949295,424,0.441675,0.000000,0.000000,0.000000,events/second
1571949298,424,0.440301,0.000000,0.000000,0.000000,events/second
1571949301,424,0.438930,0.000000,0.000000,0.000000,events/second
1571949304,424,0.437567,0.000000,0.000000,0.000000,events/second
1571949307,424,0.436221,0.000000,0.000000,0.000000,events/second
1571949310,424,0.434881,0.000000,0.000000,0.000000,events/second
1571949313,424,0.433542,0.000000,0.000000,0.000000,events/second
1571949316,424,0.432218,0.000000,0.000000,0.000000,events/second
1571949319,424,0.430903,0.000000,0.000000,0.000000,events/second
1571949322,424,0.429588,0.000000,0.000000,0.000000,events/second
